기관ㆍ업체명,소재지,전화번호,우대내용
행복나무 아동교육상담센터,"대전광역시 서구 도안동로 3, A동 502호(가수원동, 리더스프라자)",042-322-7250,일부품목 5% 할인
연세에듀학원,"대전광역시 서구 계룡로500번길 18, 2층(갈마동)",042-533-0655,"기초수급자 5% 할인, 세자녀 입학시 셋째아 무료"
한가람학원,대전광역시 서구 신갈마로 221(갈마동),042-482-5079,전체품목10% 할인
관저아인스학원,대전광역시 서구 관저북로 12(관저동),042-542-0221,수강료 20% 할인
한유호 음악학원,"대전광역시 서구 신갈마로 46, 201호(내동, 롯데아파트상가)",042-533-7778,수강료 5% 할인
도마신속학원,대전광역시 서구 제비네6길 84(도마동),042-525-6147,수강료 10% 할인
좋은아이들피아노교습소,대전광역시 서구 도솔로 14(도마동),042-532-8007,수강료 10% 할인
링고스어학원,대전광역시 서구 문예로 73(둔산동),042-486-2227,수강료 2만원 할인
씨엔따이중국어학원,"대전광역시 서구 둔산로 8, 밀레니엄프라자 602호(둔산동)",042-471-9006,수강료 15% 할인
둔산베이징중국어학원,대전광역시 서구 둔산로 130(둔산동),042-486-2121,수강료 10% 할인
대전양지외국어학원,"대전광역시 서구 둔산로 220, 5층(둔산동, 훼미리타운)",042-488-0077,수강료 10% 할인
파워리더쉽,대전광역시 서구 문정로 172-1(둔산동),042-284-7900,수강료 10% 할인
더예인음악학원,"대전광역시 서구 문정로170번길 194, 2층(둔산동)",042-486-1787,전체품목 10% 할인
예꿈미술,"대전광역시 서구 문정로170번길 199, 2층(둔산동)",042-485-0556,막내 자녀만 5% 할인
예꿈피아노,"대전광역시 서구 문정로170번길 199, 2층(둔산동)",042-472-0552,막내 자녀만 5% 할인
에꼴피아노 교습소,대전광역시 서구 중반2길 102 (변동),042-533-9190,전체품목 10% 할인
리틀박스어학원,"대전광역시 서구 복수중로 38(복수동, 삼익목화아파트)",042-585-0606,수강료 10% 할인
리틀박스어학원,대전광역시 서구 복수동로 46(복수동),042-586-0516,셋째아만 50%할인
그녀들의 다락방,"대전광역시 서구 복수동로 48, 1층(복수동)",042-581-0515,"수강료 10% 할인,두자녀 등록시 20% 할인"
카이스트 터치수학 학원,"대전광역시 서구 청사서로 42, 5층(월평동, 효성프라자)",042-489-7447,전체품목  5% 할인
월평에듀플렉스학원,"대전광역시 서구 청사서로 44, 3층(월평동, 상주빌딩)",042-471-5531,전체품목 10% 할인
황실음악학원,"대전광역시 서구 청서로 65, 405호(월평동, 황실타운상가)",042-489-3580,전체품목 5% 할인
월평외국어학원,"대전광역시 서구 월평동로 83, 405호(월평동,다모아상가)",042-489-6429,수강료 10% 할인
GnB 영수학원,대전광역시 서구 월평로 98(월평동),042-488-0553,수강료 15% 할인
브라이스외국어학원,대전광역시 서구 정림로 50(정림동),042-583-8989,수강료 10% 할인
둔산검도관,대전광역시 서구 문정로 150(탄방동),042-487-3434,학원비 10% 할인
로얄컴퓨터학원,"대전광역시 유성구 반석로 13, 603호(반석동, 웰빙타운)",042-825-6339,수강료 10% 할인
NE 능률영어학원,대전광역시 유성구 반석동로 34(반석동),042-369-5105,수강료 1만원 할인(1인당)
큰미술학원,대전광역시 유성구 구즉로 48번길 26(송강동),042-935-0940,"1명 등록 시 수강료 5% 할인,  2명이상 등록 시 수강료 10% 할인"
하이엔에스클래스,대전광역시 유성구 구즉로 52번길 13(송강동),042-933-5077,"자녀 추가 등록 시 2번째 아동 10% 할인,  3번째 아동 20% 할인"
청솔보습학원,대전광역시 유성구 구즉로 61(송강동),042-935-2608,수강료 10% 할인
신성올림수학전문학원,대전광역시 유성구 신성로72번길 53(신성동),042-861-5892,수강료 10% 할인
에스라이팅어학원,"대전광역시 유성구 엑스포로 488, 5층 2-8호(전민동, 엑스포코아)",042-862-5105,"정액할인(신규 10,000원)"
대진수학교습소,"대전광역시 유성구 지족로 367, 4층(지족동)",042-826-0106,전체20% 할인
서일잉글리쉬,"대전광역시 유성구 송림로 44, 501호(하기동)",042-825-9905,교재비 할인
베스트에듀단과종합학원,"대전광역시 유성구 전민로 34번길 63, 2층(전민동)",042-863-0555,10% 할인
은진음악학원,대전광역시 유성구 진잠로42번길 117(원내동),042-544-2065,5% 할인
나의음악학원,대전광역시 유성구 진잠로 78번길 65(원내동),042-543-3089,학원비 10% 감면
장대즐거운피아노,"대전광역시 유성구 문화원로 12, 5층(장대동)",042-825-2132,일부품목 5% 할인
장대지앤비어학원,"대전광역시 유성구 문화원로 6번길 1. 2층)(장대동, 이수빌딩)",042-823-0520,일부품목 5% 할인(학원비)
라마시아 음악학원,"대전광역시 유성구 문화원로 8, 2층)(장대동, 영림빌딩)",042-823-1222,일부품목 10% 할인(형제자매 2명 등록시)
더원학원,대전광역시 유성구 지족동로 152 빅토리아타워 5층,042-867-8877,전체품목 10% 할인
영단비학원,"대전광역시 유성구 문화원로 18, 4층",042-823-0515,전체품목 10% 할인
성지학원,대전광역시 대덕구 덕암북로 92(덕암동),042-932-4999,수강료 10% 할인
김정원 음악학원,대전광역시 대덕구 비래동로40번길 34(비래동),042-623-9286,전체품목 10% 할인
유락이스턴외국어학원,대전광역시 대덕구 석봉북로9번길 1(석봉동),042-934-8433,2명이상 수강시10% 할인(초등부만)
유락학원,대전광역시 대덕구 석봉북로9번길 1(석봉동),042-933-0526,2명이상 수강시10% 할인(초등부만)
연세어학원,대전광역시 대덕구 송촌북로36번길 24(송촌동),042-631-6951,수강료 10% 할인
와이비엠이씨씨대덕어학원,대전광역시 대덕구 계족산로81번길 64(송촌동),042-627-0506,수강료 10% 할인
플러스이화음악학원,대전광역시 대덕구 동춘당로94번길 11-27(송촌동),042-625-2633,"1인 10% 할인, 2인 20% 할인, 3인 30% 할인"
심스영어전문학원,대전광역시 대덕구 선비마을로5번길 31(송촌동),042-624-2618,전체품목 5% 할인
경일입시학원,대전광역시 대덕구 한밭대로 1041(오정동),042-631-9922,수강료 10% 할인
열린컴퓨터학원,대전광역시 대덕구 대전로 1159(오정동),042-636-3835,수강료 15% 할인
진초롱 음악학원,대전광역시 대덕구 한밭대로988번길 68(오정동),042-627-7717,수강료 20% 할인
성도피아노학원,"대전광역시 대덕구 신탄진로218번길 62(와동, 와동현대아파트)",042-621-1789,수강료 10% 할인
더존학원,대전광역시 대덕구 신탄진로218번길 25(와동),042-634-0778,수강료 10% 할인
은빛보습학원,대전광역시 대덕구 신탄진로218번길 42(와동),042-623-6112,"3자녀 등록시 셋째 무상, 조손 및 수급자가정 30%할인"
예일학원,대전광역시 대덕구 계족로 629-19(법동),042-638-8866,수강료 10% 할인
k-02합기도,대전광역시 대덕구 신탄진북로 17,042-936-1455,10%할인
GNB어학원 동대전,대전광역시 대덕구 비래서로 43 비래프라자(비래동),042-621-6681,"첫째아 10%,  둘째아 10%, 셋째아 50%"
서일영어수학학원,"대전광역시 대덕구 석봉로7번길 61, 2층(석봉동)",042-934-7329,세 자녀 등록시 한 자녀 50%할인
㈜와이비엠교육,서울시 종로구 창경궁로 112-7 인의빌딩 5층,02-2260-4480,전화영어 15% 할인
