기관ㆍ업체명,소재지,전화번호,우대내용
대전식당,대전광역시 동구 동산초교로22번길 57(홍도동),042-672-1262,일부품목 10% 할인
차오차오(중식업),대전광역시 동구 한남로 13(홍도동),042-626-9295,전체품목 5% 할인
내담 해물찜,대전광역시 동구 홍도로9번길9(홍도동),042-623-1568,일부품목 5% 할인(백반제외)
한밭숯불갈비,대전광역시 동구 홍도로33번길 2(홍도동),042-631-3115,전체품목 10% 할인
마로니에,대전광역시 동구 대청호수로 474(추동),042-274-7007,전체품목 5% 할인
별천지,대전광역시 동구 산서로 1659번길 29(대별동),042-271-0207,전체품목 5% 할인
예뫼골,대전광역시 동구 곤룡로 8(낭월동),042-273-0588,음료수제공
용전한우마을,대전광역시 동구 한밭대로 1273 (용전동),042-622-2030,전체품목 5% 할인
한시오분,대전광역시 동구 태전로 133,042-622-2620,10%할인된 상품 가격으로 판매
감고을,대전광역시 동구 대흥로202번길 21-8(인동),042-283-2622,전체품목 10% 할인
김밥천국 판암점,"대전광역시 동구 옥천로 180번길 19, 2호(판암동, 주공상가)",042-285-3310,자체포인트 적립 5%
떡끼묵까,"대전광역시 동구 옥천로 176번길 18, 1층(판암동, 우진빌딩)",,할인된 가격으로 상품 판매
김밥천국,"대전광역시 동구 동산초교로 41, 신동아파미리에상가 107호",042-624-5679,"20,000원 이상 주문시 음료수1캔 서비스"
동산한식당,대전광역시 동구 홍도동 136-7,042-626-3042,삼만원이상주문시 5%할인
흙가든,대전광역시 동구 은어송로 52번길 5-6(가오동),042-285-5229,전체품목 5% 할인
마실(퓨전한정식),대전광역시 동구 은어송로 42-43 프라임타워 2층(가오동),042-285-0661,전체품목 5% 할인
킹콩떡볶이,"대전광역시 동구 은어송로 50, 동경빌딩 103호(가오동)",042-282-7041,전체품목 10% 할인
모모갈비,대전광역시 동구 신기로 117(가오동),042-484-0606,전체품목 5% 할인
식장산갈비,대전광역시 동구 신기로 101번길 30-7(가오동),042-286-9234,전체품목 5% 할인
커피에반하다,대전광역시 동구 흥룡로 39(가양동),042-637-0952,아메리카노 10%할인
닭갈비 볶는 남자,대전광역시 동구 산내로1336(낭월동),042-272-8292,음료수 1병 서비스
왕 산,대전광역시 동구 계족로 202(대동),042-626-7006,5%할인 (주류제외)
카페 허밍,대전광역시 동구 태전로 138-18(삼성동),042-321-0788,일부품목(제조음료)10% 할인
고향반점,대전광역시 동구 다복1길 2(신안동),042-272-0727,전체품목 10%할인
고박사막창구이,대전광역시 동구 동대전로 180-2(자양동),042-223-7473,음료수 제공
조대포,대전광역시 동구 동부로 33번길 1(판암동),042-283-8292,10% 할인(주류 제외)
한끼한줄,"대전광역시 동구 옥천로 190, 101호(판암동)",042-282-0020,전체품목 5% 할인
시골 묵국수집,대전광역시 동구 홍도로9번길 36-10 (홍도동),042-626-2220,전체품목 5% 할인
신토불이추어탕,대전광역시 중구 충무로92번길 2(대사동),042-252-3555,전체품목 10% 할인
다정식당,대전광역시 중구 보문산공원로 477-2(대사동),042-252-4322,전체품목 10% 할인
행복한오리,대전광역시 중구 보문산공원로 543 (대사동),042-222-8852,전체품목 10% 할인
대흥정육식당,대전광역시 중구 보문로162번길 86(대사동),042-226-9745,전체품목 10% 할인
다전우렁쌈밥,대전광역시 중구 보문로 168-12(대사동),042-242-5989,전체품목 10% 할인
진로집,대전광역시 중구 중교로 45-5(대흥동),042-226-0914,"일부품목(두부두루치기), 10% 할인(주류제외)"
매미식당,대전광역시 중구 대흥로71번길 13(대흥동),042-242-1919,전체품목 5% 할인
봉구스 밥버거 ,대전광역시 중구 대흥로 125 (대흥동),042-222-0945,전체품목 5%할인
내집식당,대전광역시 중구 대흥로 121번길 42 (대흥동),042-223-5083,전체품목 5%할인
원어참치백화점,대전광역시 중구 대흥로165번길 40(대흥동),042-221-3788,전체품목 5% 할인
장수돌솥밥,대전광역시 중구 보문로 241-1(대흥동),042-222-7877,전체품목 5% 할인
바다사랑 식당,대전광역시 중구 중앙로 112번길 34(대흥동),042-226-8283,전체품목 5%할인
미가칼국수,대전광역시 중구 대종로 422번길 17(대흥동),042-252-9600,전체품목 5%할인
목동김밥,"대전광역시 중구 동서대로 1409, 1층(목동)",042-252-2552,5% 할인 (배달품목 제외)
 다사랑치킨ㆍ피자 ,대전광역시 중구 목중로 26번길 50(중촌동),042-226-9993,전체품목 10% 할인
옥림정,대전광역시 중구 중촌로24번길 43(중촌동),042-223-3071,일부품목 10% 할인
철없는 기똥찬 감자탕,"대전광역시 중구 중촌로28번길 50, 1층(중촌동)",042-221-1566,전체품목 10% 할인
황금김밥,대전광역시 중구 목동로27(목동),042-253-8256,일부품목 5% 할인(식사류)
호가네국밥,대전광역시 중구 목동로22번길49(목동),042-222-9866,전체품목 5% 할인
종가수제비,대전광역시 중구 당디로6번길 104(문화동),042-584-4888,일부품목 5% 할인
햇잎갈비,대전광역시 중구 서문로 19(문화동),042-584-1404,전체품목 10% 할인
대박짬뽕,대전광역시 중구 서문로 21(문화동),042-320-4452,전체품목 10% 할인
시온성,대전광역시 중구 서문로 105번길 7(문화동),042-255-3030,전체품목 10% 할인(배달제외)
구룡성,대전광역시 중구 보문산로171번길 29(문화동),042-586-6131,전체품목 10% 할인
봉평막국수,대전광역시 중구 보문산로 171번길 40-4(문화동),042-226-2369,전체품목 5% 할인
굴세상,대전광역시 중구 보문산로 171번길 40-14(문화동),042-586-1348,전체품목 5% 할인
명물춘천닭갈비,대전광역시 중구 보문산로 177번안길 50(문화동),042-584-0555,"닭갈비만 5% 할인(주류,음료, 사리류 제외)"
풍경,대전광역시 중구 보문산로 312(문화동),042-585-7886,일부품목 10% 할인
김밥이야기,대전광역시 중구 보문산로 1616번길 55(문화동),042-585-7009,5% 할인(김밥류 제외)
한밭오리,대전광역시 중구 과례로39번길 29(문화동),042-582-8577,전체품목  6% 할인
남촌회관,대전광역시 중구 중앙로16번길27-7(문화동),042-223-9757,전체품목 15% 할인
이강백조,대전광역시 중구 당디로 58(산성동),042-584-5515,전체품목 10% 할인
만다린,대전광역시 중구 산성로 24(산성동),042-587-8878,중화요리 5% 할인(배달은 할인 안됨)
산성골숯불구이,대전광역시 중구 대둔산로 364번길 9(산성동),042-581-2989,전체품목 5% 할인
흥일수제비,대전광역시 중구 보문산로 37(산성동),042-582-5323,전체품목 5% 할인
해맑은 식당,대전광역시 중구 돌다리로 8번길 3(석교동),042-272-0955,전 메뉴 10% 할인
연화식당,대전광역시 중구 돌다리로8번길 7(석교동),042-285-0393,전체품목 5% 할인
신가네고기촌,대전광역시 중구 대종로 235(석교동),042-283-1188,전체품목 10% 할인
옥천가,대전광역시 중구 대종로 216(석교동),042-286-1255,전체품목 10% 할인
돌다리 식당,대전광역시 중구 대종로 234-17(석교동),042-282-1461,일부품목 5% 할인
영동식당,대전광역시 중구 계룡로874번길 27-9(오류동),042-531-6016,전체품목 10% 할인
만나식당,대전광역시 중구 계룡로771번길 22(용두동),042-252-7609,일부품목 10% 할인
명성반점,대전광역시 중구 용두로 27(용두동),042-256-6043,일부품목 5% 할인(식사류)
꽃님이 식당,대전광역시 중구 용두로 43(용두동),042-242-3124,전체품목 10% 할인
용두떡집,대전광역시 중구 중앙로 13번길 13(용두동),042-254-3792,전체품목 5% 할인
진가네칼국수,대전광역시 중구 선화로 8-7(용두동),042-222-5665,전체품목 5% 할인
신대칼국수,대전광역시 중구 동서대로1322번길 41(용두동),042-223-1546,전체품목 5% 할인
황지영양탕,대전광역시 중구 동서대로1322번길 67(용두동),042-255-5466,전체품목 5% 할인
민이식당,대전광역시 중구 문화로99번길 82(유천동),042-582-2609,전체품목 5% 할인
차이나홀릭,대전광역시 중구 유천로47번길 17(유천동),042-582-2500,전체품목 5% 할인
함흥면옥,대전광역시 중구 계백로1583번길 39(유천동),042-522-5900,만두전골만 10%
선산국밥,대전광역시 중구 계백로 1590(유천동),042-581-9290,일부품목 5% 할인(국밥)
장수버섯마을식당,대전광역시 중구 유천로 57(유천동),042-585-0105,일부품목 10% 할인
두부만드는 집,대전광역시 중구 유천로102번길 29(유천동),042-528-8004,일부품목 5% 할인(전골제외 한 메뉴)
OK 치킨호프,대전광역시 중구 태평로14번길12(유천동),042-525-9589,일부품목 5% 할인
오마니동방순대,대전광역시 중구 당디로 116(유천동),042-242-8484,"일부품목 10% 할인(주류,음료 제외)"
학선식당,대전광역시 중구 보문로 295-1(선화동),042-256-4057,전체품목 10% 할인
고려회관,대전광역시 중구 중앙로 109번길 30(선화동),042-257-4732,일부품목 10%할인
손가네 어죽칼국수,대전광역시 중구 중앙로121번길 25 (선화동),042-252-9972,전체품목 10% 할인
왕비성,대전광역시 중구 중앙로121번길 38 (선화동),042-226-2830,전체품목 10% 할인
토종칼국수,대전광역시 중구 대종로 667(중촌동),042-253-5662,일부품목 5% 할인
옹기시골칼국수,대전광역시 중구 중촌로28번길 42(중촌동),042-254-5152,일부품목 3% 할인
토마토,대전광역시 중구 대종로 656(중촌동),042-221-5462,일부품목 10% 할인
명문회관,대전광역시 중구 대종로 334번길 79(문창동),042-271-3735,일부품목 10% 할인
은하수식당,대전광역시 중구 문창로 24-1(문창동),042-273-9492,일부품목 10% 할인
이모네칼국수,대전광역시 중구 대전천서로 269 (문창동),042-272-0342,전체품목 10% 할인
어울림,대전광역시 중구 수침로55번길 3(태평동),042-534-0008,전체품목 5% 할인
옥천식당,대전광역시 중구 수침로55번길 53(태평동),042-531-3561,일부품목 5% 할인(찌개류)
홍두깨 칼국수,대전광역시 중구 수침로 59(태평동),042-525-5052,일부품목 5% 할인(칼국수)
우리풍천장어꼼장어,대전광역시 중구 수침로 96(태평동),042-534-3385,일부품목 5% 할인(식사품목)
미소칼국수,대전광역시 중구 유천로132번길 27(태평동),042-525-4298,전체품목 5% 할인
와플나라,대전광역시 중구 유천로132번길 31-26(태평동),,일부품목 10% 할인(와플)
장스시,대전광역시 중구 유천로136번길 21-28(태평동),042-533-5876,전체품목 5% 할인
옛날전통짜장,대전광역시 중구 동서대로 1208-5(태평동),042-532-4494,"2,500원→2,000원"
송가네참옻집,대전광역시 중구 태평로 181-1(태평동),042-536-5727,"일부품목 10% 할인(한방옻오리, 토종옻닭)"
골목고기촌,대전광역시 중구 보문로68번길 3(부사동),042-255-7339,전체품목 20% 할인
북경,대전광역시 중구 보문로 99-2(부사동),042-257-4494,"짜장면,짬뽕->3,000원, 볶음밥->4,000원, 탕수육->6,000원"
신선불고기,대전광역시 중구 대종로 319(부사동),042-255-0440,전체품목 10% 할인
옛터촌국수,대전광역시 중구 보문로 338(선화동),042-224-0222,전체품목 10% 할인
선비촌식당,대전광역시 중구 보문로337번길 20(선화동),042-257-2420,전체품목 10% 할인
부사할매불고기,대전광역시 중구 대종로224번길 15(석교동),042-222-3309,일부품목 10% 할인
신씨네버섯촌,대전광역시 중구 보문산공원로 533(대사동),042-255-2889,전체품목 10% 할인
완도 매생이,대전광역시 중구 보문산공원로497번길 15(대사동),042-286-1475,전체품목 10% 할인
아지트(잔치국수),대전광역시 중구 대종로295번길 5(부사동),042-252-5022,전체품목 5% 할인
멸치가 살아있는 국수,대전광역시 중구 보문로 61 (부사동),070-8837-0090,전체품목 10% 할인
연기나는 마을,대전광역시 중구 수침로 87(태평동),042-523-3177,음료수 제공
만향,대전광역시 중구 수침로55번길 9(태평동),042-531-5353,전체품목 5% 할인
갈비포차,대전광역시 중구 수침로 95-1(태평동),042-521-9288,음료수 및 공기밥 제공
대관령축산정육식당,대전광역시 중구 서문로 128(문화동),042-584-9992,일부품목(식사류 10%)
두손개성만두,대전광역시 중구 보문산초365번길2(문화동),042-582-5262,일부품목(만두전골 10%)
바다향 코다리조림&시골막국수,대전광역시 중구 대흥로 10번길 5(문화동),042-221-6668,"일부품목(금상첨화, 코다리조림 10%)"
공간소이헌,대전광역시 중구 선화로 97번길 59-2(선화동),042-252-3835,전체품목 10% 할인
일미정,대전광역시 중구 대전천서로 295(문창동),042-285-3838,일부품목5%(주류제외)
구구스치킨,대전광역시 중구 학고개로57번길 81(옥계동),042-274-6222,전체품목 10% 할인
박가네얼큰이칼국수,대전광역시 중구 보문산공원로 536(대사동),042-253-6605,전체품목 10% 할인
용두리 식당,대전광역시 중구 어덕마을로 24번지(용두동),042-226-9787,"할인된상품가격으로판매, 전체품목 5%할인"
생고기 집,대전광역시 중구 선화로 22번길 66(용두동),042-221-2369,"할인된상품가격으로판매, 전체품목 5%할인"
장안식당,대전광역시 중구 계백로1566번길 27(유천동),042-585-5955,2만원 이상 일부품목 현금 결제시 5% 할인
쫄데기앤꼼장어,대전광역시 중구 송리로 48 (문화동),,전품목 5% 할인
야호분식,대전광역시 중구 유천로 142번길 41(태평동),042-535-7055,전체품목 5% 할인
초원가든,대전광역시 서구 벌곡로 965(괴곡동),042-587-5292,전체품목 5% 할인
수라간감자탕,대전광역시 서구 갈마중로 46(갈마동),042-531-8700,전체품목 5% 할인
허가네본점,대전광역시 서구 갈마로 10(갈마동),042-523-5269,전체품목 5% 할인
굴세상,대전광역시 서구 신갈마로 59(갈마동),042-521-9990,전체품목 10% 할인
진성아구찜,대전광역시 서구 신갈마로 81(갈마동),042-538-0809,전체품목 5% 할인
김가네 갈마점,대전광역시 서구 갈마중로 35(갈마동),042-535-2252,일부품목 5% 할인(김밥류 제외)
차오차오 (중식업),대전광역시 서구 대덕대로 151-1(갈마동),042-526-9295,5천원이상구매시10% 할인(방문시)
하얀집,대전광역시 서구 대덕대로 3(내동),042-527-8668,5% 할인(만원이상 결재 시)
오다가다곱창전골,대전광역시 서구 도솔로 258-1 (내동),042-528-8586,전체품목 10% 할인
이서방네해장국,대전광역시 서구 바탕들4길 5(도마동),042-583-6764,전체품목 10% 할인
배꼽달래기 호떡순,대전광역시 서구 배재로46번길 90 (도마동),042-345-6788,전체품목 10% 할인
우래정,대전광역시 서구 도마5길 7(도마동),042-524-2210,전체품목 10% 할인
한마음면옥,대전광역시 서구 사마1길 22(도마동),042-536-0408,5만원이상 구입시 5% 할인
산적골식당,대전광역시 서구 도솔로 55(도마동),042-532-4771,찌개류 5% 할인
피자 알볼로,"대전광역시 서구 계백로 1426, 1층(도마동)",042-587-8495,"일부품목 10% 할인(명품, 달인, 장인피자류 할인)"
춘하회관,대전광역시 서구 제비네4길 130 (도마동),042-531-2185,부침개 서비스
쌈밥대가,대전광역시 서구 제비네4길 7 (도마동),042-535-1778,전체품목 10%할인
카페 크레타,"대전광역시 서구 둔산로 240, 1층(둔산동)",042-486-0995,일부품목 5% 할인(음료)
셀라비레스토랑,대전광역시 서구 둔산중로 41번길 10 (둔산동),042-487-1662,전품목10%할인(스테이크 제외)
호두나무집,대전광역시 서구 둔산중로64번길 32(둔산동),042-485-0011,전체품목 5% 할인
양촌추어탕,대전광역시 서구 둔산중로78번길 36(둔산동),042-472-0644,전체품목 5% 할인
내고향강원도,대전광역시 서구 문정로 170번길 39(둔산동),042-489-3484,전체품목 10% 할인
명랑분식,"대전광역시 서구 둔산남로 199번길 15, 1층(둔산동)",042-472-5345,"일부품목 5% 할인(돈가스,덮밥)"
남한산성,대전광역시 서구 둔산서로 84(둔산동),042-485-0973,일부품목 5% 할인
평양옥,대전광역시 서구 만년로67번길 34-10(만년동),042-489-0720,5%할인
정통춘천닭갈비,대전광역시 서구 만년남로 3번길 7 (만년동),042-471-0908,전체품목 10% 할인(주류제외)
만년왕족발,대전광역시 서구 만년남로 3번길 42(만년동),042-488-2689,모든음식품목 10% 할인
만년본가,대전광역시 서구 만년로 18번길 28(만년동),042-489-0516,"돼지고기(삼겹살, 등갈비) 10% 할인"
일월성,대전광역시 서구 만년남로 22번길 29(만년동),042-488-7827,전체품목 10% 할인
놀부네 남원추어탕,대전광역시 서구 월평로 37번길 9(월평동),042-484-3353,전체품목 20% 할인
월평생고기,대전광역시 서구 월평로24(월평동),042-482-9200,전체품목 5% 할인
대구뽈식당,대전광역시 서구 월평중로13번길 9-13(월평동),042-486-5577,전체품목 5% 할인
사랑방식당,"대전광역시 서구 청사로 65 지하1층(월평동, 황실타운상가)",042-489-5436,전체품목 5% 할인
황실순대국밥,"대전광역시 서구 청사로 65 지하1층(월평동, 황실타운상가)",042-489-3236,전체품목 5% 할인
자매식당,"대전광역시 서구 청사로 65, 8호 (월평동, 황실지하상가)",042-489-5570,전체품목 5% 할인
옛터국수 전문점,대전광역시 서구 월평새뜸로4번길 69 (월평동),042-483-3579,일부품목 5%할인(국수품목)
처갓집치킨,대전광역시 서구 월평새뜸로8번길50 (월평동),042-485-0145,"치킨 1,000원 할인"
두껀갈비,대전광역시 서구 탄방동 7번길 103 (탄방동),042-472-0047,음료수 제공
강경옥식당,"대전광역시 서구 남선로 31-18, 1층(탄방동)",042-483-3993,음료수 서비스 제공
황후,대전광역시 서구 문정로150번길 21(탄방동),042-488-7524,"배달시 짬뽕, 짜장 5% 할인"
바질리코(관저점),대전광역시 서구 관저중로64번길 26(관저동),042-545-2515,전체품목 5% 할인(카드결재시)
논두렁추어탕,대전광역시 서구 괴정로 5(괴정동),042-527-8812,전체품목 10% 할인
비룡각,"대전광역시 서구 괴정로 55, 1층(괴정동)",042-534-7360,일부품목 10% 할인(현금결재시)
한밭순대,대전광역시 서구 도솔로 330(괴정동),042-537-9353,전체품목 5% 할인
코지카페,"대전광역시 서구 도솔로 331, 1층(괴정동)",070-8849-6653,"일부품목 5% 할인(스무디, 에이드)"
행복김밥,대전광역시 서구 중반5길 8 (변동),042-536-6123,3만원 이상시 3% 할인
금산식당,대전광역시 서구 변동중로 45번길 51-2(변동),042-531-6055,전체품목 10% 할인
호식이두마리치킨,대전광역시 서구 중반9길 18(변동),042-535-9949,치킨메뉴 10% 할인
큰집 부추해물 칼국수,대전광역시 서구 변동로 99(변동),042-534-0777,일부품목 20% 할인
양자강,대전광역시 서구 변동로 105 (변동),042-532-4789,2만원 이상시 3% 할인
평양순대국밥,대전광역시 서구 동서대로 1108(변동),042-526-4545,"순대국밥 1,000원 할인"
맛고을,대전광역시 서구 계룡로 76번길 21(용문동),042-524-9904,전체품목 5% 할인
시골영양탕,대전광역시 서구 계룡로 662번길 40-2(용문동),042-533-0776,전체품목 5% 할인
참사랑음식나라,대전광역시 서구 계룡로 663-9 (용문동),042-538-8890,전체품목 5% 할인
광천식당,대전광역시 서구 계룡로 670-16(용문동),042-533-4415,조기찌개 3% 할인
서가네추어탕,대전광역시 서구 도산로 335(용문동),042-524-3690,음료수제공
수정자갈치꼼장어,대전광역시 서구 도산로 369번길 38(용문동),042-525-6089,전체품목 10% 할인
시온밥집,대전광역시 서구 도산로400번길36 (용문동),,일부품목 5%할인(한식뷔페)
대전맛집,대전광역시 서구 괴정로 167(용문동),042-533-3357,한우국밥 5% 할인
논산회관,대전광역시 서구 도솔로 499번길 5(용문동),042-535-6155,일부품목 5%할인(청국장)
이동식 곱창타운,대전광역시 서구 정림서로 134-4(정림동),042-585-8892,전체품목 10% 할인
이거시참치,대전광역시 서구 정림로 65번길 10-6(정림동),042-584-3789,전체품목 5% 할인
두레박,대전광역시 서구 정림로 66번길 26 (정림동),042-585-8075,일부품목 5% 할인(찌개류)
김밥칭구,대전광역시 서구 정림동로 7 (정림동),042-535-1444,일부품목 5% 할인(찌개류)
그옛날 보릿고개,대전광역시 서구 정림동로 14(정림동),042-226-3563,전체품목 10%할인
그린하우스,"대전광역시 서구 오량2길 3, 1층(복수동)",042-583-2006,"15,000원 이상주문시1,000원할인"
금강어죽 매운탕,대전광역시 서구 복수남로 11번길 84 (복수동),042-581-9941,식사방문 시 음료수 1병 증정
이모네닭도리탕 삽겹살,대전광역시 서구 동서대로 993-1(내동),042-536-8880,전체품목 10% 할인
마늘장군보쌈,대전광역시 서구 도솔로 265-1(내동),042-533-3727,전체품목 20% 할인
(신)공주칼국수,대전광역시 서구 갈마로313번길 22 (가장동),042-526-0671,전체품목 10%할인
천안문,대전광역시 서구 도솔로 142(도마동),042-531-1230,식사 후 음료제공
장가계,대전광역시 서구 둔사남로179번갈31(둔산동),042-471-0826,전체품목10%할인
수목떡집,대전광역시 서구 문정로 128(탄방동),042-489-8875,전체 품목 5%할인
신토불이 떡집,대전광역시 서구 탄방로 7번길 61 1층(탄방동),042-486-5834,전체품목 20%
우명동,대전광역시 서구 문정로 112번안길 23(탄방동),042-488-8895,전체품목 10%(현금)
새벽산꼼장어,"대전광역시 서구 청사서로 54번길 11, 엄지빌딩1층(둔산동)",042-472-5565,전체품목10%
유성갈비     ,"대전광역시 서구 둔산남로 105번길 28, 2층(둔산동)",042-483-3511,전체품목 5% 할인
더 가득한 북카페,대전광역시 서구 도마4길 69(도마동),042-531-8889,전체품목 5% 할인(쿠폰 미적용)
가마솥보리밥,대전광역시 서구 도솔로 30(도마동),042-523-2602,일부품목 5% 할인
뱃고동 낙지마당,대전광역시 서구 계백로1286번길 70(정림동),042-586-5550,전품목 10%
우가네손칼국수,대전광역시 서구 변동로 92(변동),042-537-6644,전체품목 5% 할인(주류제외)
카페브로스,대전광역시 서구 계룡로 686번길 9(용문동),042-368-0625,전체품목 10% 할인
할리스 커피,대전광역시 서구 도솔로 314(괴정동),042-365-0365,아메리카노 5% 할인
더호,"대전광역시 서구 도솔로245번길 4, 1층 (내동)",042-533-1896,전체품목 10% 할인
원조태평소국밥(갈마점),대전광역시 서구 신갈마로 170(갈마동),042-535-3992,전체품목 5% 할인 (주류제외)
큰마을떡집,"대전광역시 서구 대덕대로 150, 큰마을아파트 후문 상가 1층(갈마동)",042-524-5254,전품목 10%할인
아카정글커피로스터스,대전광역시 서구 계룡로245번길 18(월평동),070-4111-7117,전품목 10% 할인
옆구리터진 김밥,대전광역시 서구 청사로 70(월평동),042-487-4443,전체품목 5%할인
아빠손짜장,대전광역시 서구 도안동로 11번길 62(가수원동),042-542-0005,전품목 10% 할인
홍삼찻집,대전광역시 서구 관저중로 84(관저동),042-541-4001,전체 품목 쿠키제공
털보바베큐,대전광역시 서구 갈마동 362-2,042-523-2428,상품가격의 할인 10%
버거앤프라이즈 대전도안점 ,대전광역시 서구 원도안로 13-28 1층,042-545-1100,전체품목 10% 할인
하하고기,대전광역시 서구 갈마로 42 1층(갈마동),042-523-9273,일부품목 5% 할인
